disease_code,শ্রেণী,প্রতিকার
blb,রাসায়নিক,"৬০ গ্রাম থায়োফ্যানেট মিথাইল (সানফোনেট ৭০ডব্লিউপি, ফ্যানেট ৭০ডব্লিউপি) + স্ট্রেপ্টোমাইসিন সালফেট (অ্যান্টিব্যাক ১০এসপি)-এর মিশ্রণ ব্যবহার করুন"
blb,রাসায়নিক,২০০ গ্রাম কপার অক্সিক্লোরাইড (কুপ্রাভিট)-এর সাথে কিউভিট অথবা ব্যাকট্রোবান মিক্স ব্যবহার করুন
blb,রাসায়নিক,"অ্যান্টিব্যাক ১০এসপি + টেট্রাসাইক্লিন হাইড্রোক্লোরাইড (টেট্রাক্স, টেট্রাসিনা, টেট্রাফাস্ট, টেট্রাসিলিন, টাইটাসিন, টেট্রাম, টেট্রামেট, জে-মাইসিন)-এর মিশ্রণ প্রয়োগ করুন"
bls,প্রতিরোধক,পরিচ্ছন্ন ও নিরোগ বীজ সংগ্রহ
bls,প্রতিরোধক,প্রত্যয়িত বা সার্টিফাইড বীজ ব্যবহার করুন
bls,প্রতিরোধক,রোগমুক্ত বীজ ব্যবহার করুন
bls,প্রতিরোধক,আক্রান্ত ফসলের অবশিষ্টাংশ পুঙ্খানুপুঙ্খভাবে পুড়িয়ে ফেলুন
bls,প্রতিরোধক,আক্রান্ত ফসলের অবশিষ্টাংশ মাটির নিচে গভীর চাষ দিয়ে পুঁতে ফেলুন
bls,প্রতিরোধক,"খেতের আইল বা চারপাশ থেকে ঘাস জাতীয় বাহক, বুনো ধান এবং মোথা জাতীয় আগাছা পরিষ্কার করুন"
bls,কৃষিপ্রক্রিয়াগত,নাইট্রোজেনের সর্বনিম্ন বা সীমিত মাত্রা
bls,কৃষিপ্রক্রিয়াগত,ইউরিয়া সার নির্দিষ্ট তিন কিস্তিতে ভাগ করে প্রয়োগ করুন
bls,কৃষিপ্রক্রিয়াগত,সেচ দেওয়া জমিতে জমে থাকা পানি সাময়িকভাবে নিষ্কাশন করে দিন
bls,কৃষিপ্রক্রিয়াগত,অতিরিক্ত এক কিস্তি মিউরেট অব পটাশ (MOP) সার প্রয়োগ করুন
bls,কৃষিপ্রক্রিয়াগত,রোগের আক্রমণ তীব্র হলে ৩ থেকে ৪ দিনের জন্য খেতের পানি বের করে শুকিয়ে নিন
bls,রাসায়নিক,"২০ গ্রাম বিসমারথিয়াজল (ব্যাকট্রোবান ২০ ডব্লিউপি, বিসমাজল ২০ ডব্লিউপি, ব্যাকট্রোল ২০ ডব্লিউপি) দ্রবীভূত করুন"
bls,রাসায়নিক,"২০ গ্রাম স্ট্রেপ্টোমাইসিন সালফেট (অ্যান্টিব্যাক ১০ এসপি) + টেট্রাসাইক্লিন হাইড্রোক্লোরাইড (টেট্রাক্স, টেট্রাসিনা, টেট্রাফাস্ট, টেট্রাসিলিন, টাইটাসিন, টেট্রাম, টেট্রামেট, জে-মাইসিন)-এর মিশ্রণ ব্যবহার করুন"
bls,রাসায়নিক,৫০ গ্রাম কপার অক্সিক্লোরাইড (কুপ্রাভিট ৫০ ডব্লিউপি)-এর সাথে মিশ্রিত করুন
bls,রাসায়নিক,৭ থেকে ১০ দিন পর পর স্প্রে করুন
bpb,প্রতিরোধক,পরিচ্ছন্ন ও নিরোগ বীজ নির্বাচন
bpb,প্রতিরোধক,পূর্বে শীষ বা ছড়া আক্রান্ত হয়েছে এমন জমি থেকে কখনোই বীজ সংগ্রহ করবেন না
bpb,প্রতিরোধক,মৌসুমের শুরুতেই বোরো ফসলের আবাদ বা রোপণ করুন
bpb,প্রতিরোধক,মৌসুমের শুরুতেই আমন ফসলের আবাদ বা রোপণ করুন
bpb,কৃষিপ্রক্রিয়াগত,নাইট্রোজেন সার প্রয়োগের পরিমাণ কমিয়ে দিন
bpb,কৃষিপ্রক্রিয়াগত,ফসলের শেষ পর্যায়ে বা দেরিতে ইউরিয়া সার প্রয়োগ করবেন না
bpb,কৃষিপ্রক্রিয়াগত,উপরি-প্রয়োগ হিসেবে অতিরিক্ত মিউরেট অব পটাশ (MOP) সার দিন
bpb,কৃষিপ্রক্রিয়াগত,ধানের শীষ বের হওয়ার সময়ে জমিতে সুষম বা স্থির পানির স্তর বজায় রাখুন
bpb,কৃষিপ্রক্রিয়াগত,ধানের থোর অবস্থায় মিউরেট অব পটাশ (MOP) সার প্রয়োগ করুন
bpb,কৃষিপ্রক্রিয়াগত,গাছের উপরিভাগের পারিপার্শ্বিক তাপমাত্রা হ্রাস করুন
bpb,রাসায়নিক,প্রতি ১০ লিটার পানিতে ২০ গ্রাম বিসমারথিয়াজল (ব্যাকট্রোবান ২০ ডব্লিউপি) মিশিয়ে প্রয়োগ করুন
bpb,রাসায়নিক,বিকল্প হিসেবে প্রতি ১০ লিটার পানিতে ৫ মিলি কাসুগামাইসিন (কিমিয়া ২১.৫ ডব্লিউপি) প্রয়োগ করুন
bpb,রাসায়নিক,একর প্রতি ৪০০ গ্রাম কপার অক্সিক্লোরাইড (কুপ্রাভিট ৫০ ডব্লিউপি) ব্যবহার করুন
bpb,রাসায়নিক,একর প্রতি ১৮ গ্রাম স্ট্রেপ্টোসাইক্লিন ব্যবহার করুন
bpb,রাসায়নিক,১৫০ লিটার পানিতে কপার অক্সিক্লোরাইড (কুপ্রাভিট ৫০ ডব্লিউপি) এবং স্ট্রেপ্টোসাইক্লিন-এর সংমিশ্রণ একসাথে মেশান
bpb,রাসায়নিক,ফুল আসার শুরুর দিকে স্প্রে করুন
bspot,প্রতিরোধক,সুস্থ ও নিরোগ বীজ বপন
bspot,প্রতিরোধক,অতিরিক্ত দাগ বা রোগাক্রান্ত খেত থেকে বীজ সংগ্রহ করা বর্জন করুন
bspot,প্রতিরোধক,বীজের বস্তা বা ব্যাগ ৫৩ - ৫৪ ডিগ্রি সেলসিয়াস তাপমাত্রার গরম পানিতে ভিজিয়ে রাখুন
bspot,প্রতিরোধক,বীজ বপনের আগে ১০-১২ মিনিটের জন্য ভিজিয়ে রাখুন
bspot,প্রতিরোধক,বীজের অভ্যন্তরীণ ছত্রাকের মাইসেলিয়াম নির্মূল করুন
bspot,প্রতিরোধক,কার্বেন্ডাজিম ৫০ ডব্লিউপি (অটোস্টিন ৫০ ডব্লিউডিজি) দিয়ে শুকনো বীজ শোধন করুন
bspot,প্রতিরোধক,"কার্বোক্সিন + থাইরাম (প্রোভ্যাক্স ২০০ ডব্লিউপি, প্রতি ১ কেজি বীজের জন্য ২.৫ থেকে ৩ গ্রাম হারে) দিয়ে বীজ শোধন করুন"
bspot,কৃষিপ্রক্রিয়াগত,সুষম সার প্রয়োগ
bspot,কৃষিপ্রক্রিয়াগত,ফসফরাস বা টিএসপি সারের সঠিক মাত্রা নিশ্চিত করুন
bspot,কৃষিপ্রক্রিয়াগত,সালফার বা জিপসাম সারের সঠিক মাত্রা নিশ্চিত করুন
bspot,কৃষিপ্রক্রিয়াগত,মিউরেট অব পটাশ সার কিস্তিতে প্রয়োগ করুন
bspot,কৃষিপ্রক্রিয়াগত,জমি তৈরির শেষ চাষের সময় অর্ধেক মিউরেট অব পটাশ সার প্রয়োগ করুন
bspot,কৃষিপ্রক্রিয়াগত,সর্বোচ্চ কুশি গজানোর অবস্থায় বাকি অর্ধেক মিউরেট অব পটাশ সার প্রয়োগ করুন
bspot,কৃষিপ্রক্রিয়াগত,জমিতে হালকা বা কম পানির স্তর বজায় রাখুন
bspot,রাসায়নিক,"ম্যানকোজেব (টিকোজেব ৮০ ডব্লিউপি, এগ্রিজেব ৮০ ডব্লিউপি, জ্যাজ ৮০ ডব্লিউপি, ডাইথেন এম-৪৫, ইন্দোফিল এম-৪৫, ম্যানকোথেন ৮০ ডব্লিউপি) স্প্রে করুন"
bspot,রাসায়নিক,"বিকল্প হিসেবে প্রোপিনেব (অ্যান্ট্রাকল ৭০ ডব্লিউপি, মেলোডি ডিও ৬৬.৮ ডব্লিউপি, ইনফিনিট প্রো ৭২.৭ ডব্লিউপি) স্প্রে করুন"
bspot,রাসায়নিক,প্রতি লিটার পানিতে ২ গ্রাম হারে ম্যানকোজেব/প্রোপিনেব মিশিয়ে স্প্রে করুন
bspot,রাসায়নিক,"বিকল্প হিসেবে ডাইফেনোকোনাজোল + প্রোপিকোনাজোল (এক্স-ট্রা কেয়ার ৩০০ ইসি, ডিপ্রো ৩০০ ডব্লিউসি, টিনটিন ৩০০ ডব্লিউসি, এগ্রোজোল ৩০ ইসি, কম্বি-২ ৩০ ডব্লিউসি) স্প্রে করুন"
bspot,রাসায়নিক,"বিকল্প হিসেবে অ্যাজোক্সিস্ট্রবিন + ডাইফেনোকোনাজোল (অ্যামিস্টার টপ, সুইট স্টার, ডটকম ৩২.৫ এসসি, স্কোর ২৫০ ইসি) স্প্রে করুন"
bspot,রাসায়নিক,"বিকল্প হিসেবে টেবুকোনাজোল + ট্রাইফ্লক্সিস্ট্রবিন (নেটিভো ৭৫ ডব্লিউজি, ফিদা ৭৫ ডব্লিউডিজি, বাজিমাথ ৭৫ ডব্লিউজি, নোভিতা ৭৫ ডব্লিউজি, স্ট্রোমিন ৭৫ ডব্লিউজি) স্প্রে করুন"
bspot,রাসায়নিক,উল্লেখিত বিকল্প মিশ্রণগুলো প্রতি লিটার পানিতে ১ মিলি অথবা ১ গ্রাম হারে মিশিয়ে স্প্রে করুন
bspot,রাসায়নিক,মোট দুইবার স্প্রে করুন
bspot,রাসায়নিক,এক স্প্রে থেকে অন্য স্প্রের ব্যবধান ১০ দিন রাখুন
dh,প্রতিরোধক,রাতে খেতের কাছাকাছি সাধারণ আলোক ফাঁদ স্থাপন করুন
dh,প্রতিরোধক,রাতে পানির পাত্রের ওপরে ঝুলন্ত হারিকেন বা লণ্ঠন স্থাপন করুন
dh,প্রতিরোধক,পাতার ডগায় বা ডাবায় পাওয়া পোকার ডিমের গাদা ধ্বংস করুন
dh,প্রতিরোধক,ফসল কাটার পরপরই জমি ভালোভাবে চাষ বা লাঙল দিয়ে রাখুন
dh,প্রতিরোধক,ফসল কাটার পর কয়েকদিনের জন্য খেত পানিতে ডুবিয়ে (প্লাবিত করে) রাখুন
dh,কৃষিপ্রক্রিয়াগত,খেত জুড়ে বাঁশের ডাল পুঁতে দিন
dh,কৃষিপ্রক্রিয়াগত,খেত জুড়ে টি (T) আকৃতির কাঠের খুঁটি পুঁতে দিন
dh,কৃষিপ্রক্রিয়াগত,অতিরিক্ত ইউরিয়া সার ব্যবহার পরিহার করুন
dh,কৃষিপ্রক্রিয়াগত,চারা রোপণের আগে চারার পাতার ওপরের ১-২ ইঞ্চি কেটে বা ছেঁটে ফেলুন
dh,রাসায়নিক,বিঘা প্রতি ৪ কেজি হারে কারটাপ (Cartap) কীটনাশক প্রয়োগ করুন
dh,রাসায়নিক,"বিকল্প হিসেবে অ্যারোটাপ ৫০ এসপি, রানটাপ ৫০ এসপি, ব্রাভো ৫০ এসপি অথবা সানটাপ ৫০ এসপি প্রয়োগ করুন"
dh,রাসায়নিক,"বিঘা প্রতি ৪ কেজি হারে কীটনাশক ও উইপোকা নাশক ফিপ্রোনিল (রিজেন্ট ৩জিআর, ফিলবার্ট ৫০ এসসি, এনভয় ৫৬ এসসি অথবা বোনানজা ৩জিআর) প্রয়োগ করুন"
dh,রাসায়নিক,"বিকল্প হিসেবে বিঘা প্রতি ১.৫ কেজি হারে ক্লোরানট্রানিলিপ্রোল (ফারটেরা ০.৪জি, কোরাজেন ১৮.৫ এসসি, ভার্চাকো ৪০ ডব্লিউজি অথবা ভলিউম ফ্লেক্সি ৩০০ এসসি) কীটনাশক প্রয়োগ করুন"
dh,রাসায়নিক,"বিকল্প হিসেবে প্রতি লিটার পানিতে ১ মিলি হারে ক্লোরপাইরিফস + সাইপারমেথ্রিন (নাইট্রো ৫০৫ ইসি, এসি মিক্স ৫৫ ইসি) কীটনাশক মিশিয়ে স্প্রে করুন"
dm,প্রতিরোধক,বীজতলাকে জমে থাকা বৃষ্টির পানির হাত থেকে মুক্ত বা নিরাপদ রাখুন
dm,প্রতিরোধক,বীজতলাকে মৌসুমী নদীর বন্যার পানির হাত থেকে নিরাপদ রাখুন
dm,প্রতিরোধক,খেতের আইল বা চারপাশ বুনো জলাভূমির ঘাস থেকে মুক্ত ও পরিষ্কার রাখুন
dm,প্রতিরোধক,নিচু জমি থেকে বীজ সংগ্রহ বা সংরক্ষণ করবেন না
dm,প্রতিরোধক,ক্রেজি টপ রোগের কারণে বিকৃত শীষ বা ছড়া হওয়া খেত থেকে বীজ সংরক্ষণ করবেন না
dm,কৃষিপ্রক্রিয়াগত,খেতের পানি নিষ্কাশন নালাগুলো পরিষ্কার রাখা নিশ্চিত করুন
dm,কৃষিপ্রক্রিয়াগত,পাতার শুরুতে হলদেটে ভাব (ক্লোরোসিস) দেখা যাওয়া বিকৃত গাছগুলো হাত দিয়ে উপড়ে ফেলুন
dm,কৃষিপ্রক্রিয়াগত,পাতার শুরুতে হলদেটে ভাব (ক্লোরোসিস) দেখা যাওয়া খর্বাকৃতির (অপ্রাকৃতিক ছোট) গাছগুলো হাত দিয়ে উপড়ে ফেলুন
dm,কৃষিপ্রক্রিয়াগত,উপড়ে ফেলা গাছগুলো পুড়িয়ে ফেলুন
dm,কৃষিপ্রক্রিয়াগত,প্লাবিত বা পানিতে ডুবে থাকা জমিতে অতিরিক্ত ইউরিয়া সার প্রয়োগ করবেন না
dm,রাসায়নিক,"মেটালেক্সিল-এম (অ্যাপ্রন এক্সএল, অ্যান্টিব্লাইট - এমজেড ৭২ ডব্লিউপি, ম্যানকোসিল ৭২ ডব্লিউপি) ব্যবহার করুন"
dm,রাসায়নিক,ম্যানকোজেব (রিডোমিল গোল্ড)-এর সাথে মিশিয়ে প্রতি ১ কেজি বীজের জন্য ২.৫ গ্রাম হারে প্রয়োগ করুন
dm,রাসায়নিক,প্রতি লিটার পানিতে ২ গ্রাম হারে মেটালেক্সিল + ম্যানকোজেব মিশ্রণ স্প্রে করুন
dm,রাসায়নিক,"বিকল্প হিসেবে অ্যাজোক্সিস্ট্রবিন + ডাইফেনোকোনাজোল (অ্যামিস্টার টপ, সুইট স্টার, ডটকম ৩২.৫ এসসি, স্কোর ২৫০ ইসি) স্প্রে করুন"
dm,রাসায়নিক,এই মিশ্রণটি প্রতি লিটার পানিতে ১ মিলি হারে ভালোভাবে পুরো জমিতে স্প্রে করুন
hispa,প্রতিরোধক,পোকার বাসা বা ডিম পাড়ার স্থান ঝাঁট দিয়ে পরিষ্কার করুন
hispa,প্রতিরোধক,বীজতলায় হাতজাল ব্যবহার করে পোকা ধরুন
hispa,প্রতিরোধক,কম বয়সী বা কচি ধানের জমিতে হাতজাল ব্যবহার করে পোকা ধরুন
hispa,প্রতিরোধক,বীজতলায় সুইপিং নেট (টানা জাল) ব্যবহার করুন
hispa,প্রতিরোধক,পূর্ণাঙ্গ পামরি পোকা ধ্বংস করুন
hispa,প্রতিরোধক,খেতের আইল থেকে পোকার বিকল্প পোষক ঘাস পরিষ্কার করুন
hispa,প্রতিরোধক,নালার পার বা চারপাশ থেকে বিকল্প পোষক ঘাস পরিষ্কার করুন
hispa,প্রতিরোধক,খেতের চারপাশ থেকে বুনো ধান পরিষ্কার করুন
hispa,প্রতিরোধক,খেতের চারপাশ থেকে জলাভূমির আগাছা পরিষ্কার করুন
hispa,প্রতিরোধক,আমন ধান কাটার পরপরই জমি চাষ দিয়ে রাখুন
hispa,প্রতিরোধক,বোরো ধান কাটার পরপরই জমি চাষ দিয়ে রাখুন
hispa,প্রতিরোধক,নাড়ার (ফসলের অবশিষ্টাংশ) ভেতর লুকিয়ে থাকা পুত্তলি বা পিউপা রোদে উন্মুক্ত করুন
hispa,প্রতিরোধক,নাড়ার ভেতর লুকিয়ে থাকা পুত্তলি বা পিউপা শিকারী পাখির খাওয়ার জন্য উন্মুক্ত করুন
hispa,কৃষিপ্রক্রিয়াগত,কীড়া বা গ্রাব পাতার ভেতর সুড়ঙ্গ তৈরি করলে পাতার ওপরের ২.৫ থেকে ৩ সেমি কেটে ফেলুন
hispa,কৃষিপ্রক্রিয়াগত,পাতার ডগার কাছে জমা হওয়া ডিম হাত দিয়ে অপসারণ করুন
hispa,কৃষিপ্রক্রিয়াগত,পাতার ডগার কাছে জমা হওয়া কীড়া (গ্রাব) হাত দিয়ে অপসারণ করুন
hispa,কৃষিপ্রক্রিয়াগত,ফসল থোর অবস্থায় পৌঁছালে পাতার আগা ছাঁটাই করবেন না
hispa,কৃষিপ্রক্রিয়াগত,অতিরিক্ত ইউরিয়া সার ব্যবহার পরিহার করুন
hispa,রাসায়নিক,পোকার আক্রমণ কেবল আর্থিক ক্ষতিসীমা (ETL) অতিক্রম করলেই সরাসরি ব্যবস্থা (কীটনাশক) নিন
hispa,রাসায়নিক,আর্থিক ক্ষতিসীমা (ETL) হলো ৩৫%-এর বেশি পাতা ক্ষতিগ্রস্ত হওয়া
hispa,রাসায়নিক,আর্থিক ক্ষতিসীমা (ETL) হলো প্রতি গোছায় বা গুছিতে ৪টি পূর্ণাঙ্গ পামরি পোকা থাকা
hispa,রাসায়নিক,হেক্টর প্রতি ১.৭ লিটার হারে কীটনাশক ও মাকড়নাশক ডায়াজিনন ৬০ ইসি অথবা ডায়াজন ৬০ ইসি অথবা রিকন ৬০ ইসি স্প্রে করুন
hispa,রাসায়নিক,এছাড়া অর্গানোফসফেট কীটনাশক ম্যালাথিয়ন ৫৭ ইসি হেক্টর প্রতি ১.৫ লিটার হারে স্প্রে করুন
hispa,রাসায়নিক,ক্লোরপাইরিফস (ক্লাসিক ২০ ইসি) প্রয়োগ করুন
hispa,রাসায়নিক,বিকল্প হিসেবে প্রতি লিটার পানিতে ২ মিলি হারে কুইনালফস (কিনালাক্স ২৫ ইসি) প্রয়োগ করুন
tungro,প্রতিরোধক,নিয়মিত হাতজাল ব্যবহার করে বীজতলা পরীক্ষা করুন
tungro,প্রতিরোধক,নিয়মিত হাতজাল ব্যবহার করে কচি ধানের খেত পরীক্ষা করুন
tungro,প্রতিরোধক,সবুজ পাতা ফড়িং ধরা পড়লে তাৎক্ষণিক দমনের ব্যবস্থা নিন
tungro,প্রতিরোধক,রাতে বীজতলার কাছাকাছি আলোক ফাঁদ স্থাপন করুন
tungro,প্রতিরোধক,পরিযায়ী (উড়ে আসা) পূর্ণাঙ্গ পাতা ফড়িং ডিম পাড়ার আগেই ধ্বংস করুন
tungro,প্রতিরোধক,বুনো ঘাস মাটির নিচে চাষ দিয়ে পুঁতে ফেলুন
tungro,প্রতিরোধক,বুনো ঘাস পুড়িয়ে ফেলুন
tungro,প্রতিরোধক,নিজ থেকে গজানো ধানের চারা মাটির নিচে চাষ দিয়ে পুঁতে ফেলুন
tungro,প্রতিরোধক,নিজ থেকে গজানো ধানের চারা পুড়িয়ে ফেলুন
tungro,প্রতিরোধক,বিগত মৌসুমের অবশিষ্ট থাকা মুড়ি ফসলের গোড়া পুড়িয়ে ফেলুন
tungro,কৃষিপ্রক্রিয়াগত,একই সময়ে ধান চাষ করার জন্য আশেপাশের এলাকার কৃষকদের সাথে সমন্বয় করুন
tungro,কৃষিপ্রক্রিয়াগত,পাতা ফড়িংয়ের জন্য পর্যায়ক্রমিক (একটানা দীর্ঘ সময় ধরে) খাদ্য উৎস তৈরি করা পরিহার করুন
tungro,কৃষিপ্রক্রিয়াগত,চারা রোপণের প্রথম ৩০ দিনের মধ্যে বিচ্ছিন্নভাবে হলদে হয়ে যাওয়া ধানের গোছাগুলো হাত দিয়ে উপড়ে ফেলুন
tungro,কৃষিপ্রক্রিয়াগত,চারা রোপণের প্রথম ৩০ দিনের মধ্যে বিচ্ছিন্নভাবে খর্বাকৃতির (অপ্রাকৃতিক ছোট) ধানের গোছাগুলো হাত দিয়ে উপড়ে ফেলুন
tungro,কৃষিপ্রক্রিয়াগত,উপড়ে ফেলা ধানের গোছাগুলো মাটিতে পুঁতে রাখুন অথবা পুড়িয়ে ফেলুন
tungro,কৃষিপ্রক্রিয়াগত,নাইট্রোজেন সার অবশ্যই তিন কিস্তিতে ভাগ করে প্রয়োগ করুন
tungro,কৃষিপ্রক্রিয়াগত,ফসলের শেষ পর্যায়ে অতিরিক্ত ইউরিয়া সারের উপরি-প্রয়োগ পরিহার করুন
tungro,রাসায়নিক,পাতা ফড়িংয়ের সংখ্যা আর্থিক ক্ষতিসীমা (যেমন: প্রতি গোছায় ২টি পাতা ফড়িং) অতিক্রম করলে সিস্টেমিক (অন্তর্বাহী) কীটনাশক প্রয়োগ করুন
tungro,রাসায়নিক,"জমে থাকা পানিতে কীটনাশক ও কৃমিনাশক কার্বোফুরান (ফুরাডান ৫জি, ইকোফুরান ৫জি, ব্রিফুর ৫জি) প্রয়োগ করুন"
tungro,রাসায়নিক,বিকল্প হিসেবে জমে থাকা পানিতে ফিপ্রোনিল ৩জি প্রয়োগ করুন
tungro,রাসায়নিক,"প্রতি লিটার পানিতে ০.৫ মিলি হারে ইমিডাক্লোপ্রিড (অ্যাডমায়ার ২০০ এসএল, মিডাস ১০০ এসএল) কীটনাশক মিশিয়ে স্প্রে করুন"
tungro,রাসায়নিক,"এছাড়া প্রতি লিটার পানিতে ০.২ গ্রাম হারে থায়ামেথক্সাম (অ্যাক্টারা ২৫ ডব্লিউজি, ভার্চাকো ৪০ ডব্লিউজি, ক্রুজার ৭০ ডব্লিউএস) প্রয়োগ করুন"
normal,পরামর্শ,নিয়মিত পর্যবেক্ষণ অব্যাহত রাখুন 
normal,পরামর্শ,সঠিক সেচ ব্যবস্থা বজায় রাখুন
normal,পরামর্শ,সুষম সার প্রয়োগ
